1|Electric India|FI*Siniidan|TOFU|uros|22092019|Norjalainen metsäkissa|NFO ds 03 22|1822560
2|Black Halo|FI*Siniidan|DORIS|naaras|26122019|Norjalainen metsäkissa|NFO n 09|2027724
